	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Sat Jun 29 18:02:45 2024

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
              64       4  1101022  1429325  4018152  7100397  5860307  4274062  3738358   5283570   6421025  4018152  4564786  5860307  7940539
              64       8  1421755  4564786  7940539  9006179  7940539  5389653  6421025   7100397   7940539  4274062  4897948  7940539 10402178
              64      16  1421755  4897948  9006179  7940539 10402178  6421025  7100397   7100397  10821524  5283570  7100397 10821524 12310336
              64      32  1163036  4564786  9006179  9006179 12902017  2298136  7940539   7100397   9006179  5735102 10821524 10402178 12902017
              64      64  1304314  3958892  7940539 15972885 12902017  7100397  7940539   7100397  10821524  7293312  6271021 12902017 12902017
             128       4  1319723  3468030  5847904  6727225  3468030  3036502  3277486   4407601   4557257  2558895  3536566  5784891  6406138
             128       8  1421023  4012317  7582312  6727225  6727225  4596273  4596273   5325799   7582312  4407601  4267461  7582312  8548124
             128      16  1471662  2673584  7476717  7082197  7917784  5325799  5847904   6114306   8548124  4934216  4934216  6727225  7082197
             128      32  1521718  4267461  7476717  6812590  8548124  5379161  6330599   6406138   9129573  3468030  5784891  7582312 10567140
             128      64  1471662  4596273  4934216  6727225  6406138  3657016  6406138   6406138   9795896  4104338  8548124  8548124  9795896
